[2025-08-31 11:37:53.238] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-08-31 11:37:53.239] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-08-31 11:37:53.267] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-08-31 11:37:53.268] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-08-31 11:37:53.334] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-08-31 11:37:53.335] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-08-31 11:37:53.336] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-31 11:37:53.367] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":99}
[2025-08-31 11:37:53.368] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":99}
[2025-08-31 11:37:53.388] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-08-31 11:37:53.390] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-08-31 11:37:53.391] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-08-31 11:37:53.391] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-08-31 11:37:53.871] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":1}
[2025-08-31 11:37:53.872] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":1}
[2025-08-31 11:37:53.919] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-08-31 11:37:53.920] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-08-31 11:37:53.998] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-08-31 11:37:53.999] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-08-31 11:37:54.040] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":4}
[2025-08-31 11:37:54.042] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":4}
[2025-08-31 11:37:54.076] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":5}
[2025-08-31 11:37:54.077] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":5}
[2025-08-31 11:37:54.206] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":7}
